subset,model,seed,epochs,synthetic,rmse,mae,score,tag,rmse_h1,rmse_h5,rmse_h10,seq_len
FD001,Persistence,42,30,0,40.68543530793026,35.00188446044922,19887.153749910107,exp1_ladder,40.6854362487793,40.69503021240234,40.63895797729492,
FD001,MLP,42,30,0,14.440197560135896,10.588560378551485,411.38207764751377,exp1_ladder,14.440196990966797,14.290899276733398,14.254772186279297,
FD001,VanillaLSTM,42,30,0,12.562770451579132,9.493489410877228,233.34655216608093,exp1_ladder,12.56277084350586,12.445215225219728,12.593185424804688,
FD001,BiLSTM,42,30,0,13.007338772628112,9.746862757205964,287.579921514164,exp1_ladder,13.00733757019043,12.85805320739746,12.92353057861328,
FD001,CNN_BiLSTM,42,30,0,14.842780105133729,10.843928229808808,471.68171905933787,exp1_ladder,14.842780113220217,14.895349502563477,15.07659149169922,
FD001,CNN_BiLSTM_Attention,42,30,0,14.395501069677726,10.464733655452727,483.6999307664045,exp1_ladder,14.395500183105469,14.393638610839844,14.521554946899414,
FD001,CNN_BiLSTM_Attention,42,25,0,17.534848544798358,12.640557131767274,793.7855470122911,exp3_L20,,,,20.0
FD001,CNN_BiLSTM_Attention,42,25,0,14.395501069677726,10.464733655452727,483.6999307664045,exp3_L30,,,,30.0
FD001,VanillaLSTM,42,25,0,14.724490418870186,10.550071239471436,473.8484716858431,exp4_manual_cell,14.724491119384766,14.564374923706056,14.653106689453123,
FD001,ManualLSTM,42,25,0,13.70522463999107,9.852964191436769,364.8174613224173,exp4_manual_cell,13.705225944519045,13.628150939941406,13.74262523651123,
FD001,CNN_BiLSTM_Attention,42,25,0,14.395501069677726,10.464733655452727,483.6999307664045,exp5_seeds,14.395500183105469,14.393638610839844,14.521554946899414,
FD001,CNN_BiLSTM_Attention,43,25,0,13.715387615842724,10.084658362865447,291.5633647711334,exp5_seeds,13.715387344360352,13.561211585998535,13.618633270263672,
FD001,CNN_BiLSTM_Attention,44,25,0,14.167405727891062,9.689132194519043,536.1066750275946,exp5_seeds,14.167405128479004,14.149949073791504,14.295175552368164,
FD003,CNN_BiLSTM_Attention,42,30,0,13.497262409905932,8.903903143405914,795.6271377481796,exp6_fd003,13.497262001037598,13.414410591125488,13.498464584350586,
FD001,CNN_BiLSTM_Attention,42,25,0,15.419733921615268,11.125464134216308,392.1327364625262,exp3_L50,,,,50.0
