subset,model,seed,epochs,synthetic,rmse,mae,score,tag,rmse_h1,rmse_h5,rmse_h10,seq_len
FD001,Persistence,42,30,0,40.68543530793026,35.00188446044922,19887.153749910107,exp1_ladder,40.6854362487793,40.69503021240234,40.63895797729492,
FD001,MLP,42,30,0,14.440197560135896,10.588560378551485,411.38207764751377,exp1_ladder,14.440196990966797,14.290899276733398,14.254772186279297,
FD001,VanillaLSTM,42,30,0,12.562770451579132,9.493489410877228,233.34655216608093,exp1_ladder,12.56277084350586,12.445215225219728,12.593185424804688,
FD001,BiLSTM,42,30,0,13.007338772628112,9.746862757205964,287.579921514164,exp1_ladder,13.00733757019043,12.85805320739746,12.92353057861328,
FD001,CNN_BiLSTM,42,30,0,14.842780105133729,10.843928229808808,471.68171905933787,exp1_ladder,14.842780113220217,14.895349502563477,15.07659149169922,
FD001,CNN_BiLSTM_Attention,42,30,0,14.395501069677726,10.464733655452727,483.6999307664045,exp1_ladder,14.395500183105469,14.393638610839844,14.521554946899414,
